Order ID;Customer ID;Category;Region;Order Date;Revenue;Cost;Discount;Profit;discount_pct
O109818;C11001;Home & Kitchen;Unknown;01/01/2024;153.57;124.61;0.201;28.959999999999994;20.1
O108311;C10013;Sports;EU;01/01/2024;158.45;116.65;0.0776;41.79999999999998;7.76
O100239;C11380;Electronics;EU;01/01/2024;337.98;380.49;0.269;-42.50999999999999;26.900000000000002
O109975;C10417;Electronics;APAC;01/01/2024;354.62;372.16;0.283;-17.54000000000002;28.299999999999997
O102059;C10886;Beauty;APAC;01/01/2024;36.05;22.49;0.1533;13.559999999999999;15.329999999999998
O106680;C10412;Fashion;APAC;01/01/2024;88.12;70.0;0.1858;18.120000000000005;18.58
O102015;C10702;Home & Kitchen;EU;01/01/2024;115.86;96.13;0.148;19.730000000000004;14.799999999999999
O108418;C11638;Electronics;LATAM;01/01/2024;319.49;338.51;0.1794;-19.019999999999982;17.94
O109335;C10748;Home & Kitchen;EU;01/01/2024;67.1;63.71;0.2166;3.3899999999999935;21.66
O111796;C10984;Fashion;Unknown;01/01/2024;89.62;72.13;0.2058;17.49000000000001;20.580000000000002
O108214;C10110;Sports;Unknown;01/01/2024;70.24;47.32;0.1226;22.919999999999995;12.26
O107047;C10838;Fashion;Unknown;01/01/2024;86.14;61.1;0.2543;25.04;25.430000000000003
O108034;C11787;Home & Kitchen;EU;01/01/2024;166.75;129.17;0.0871;37.58000000000001;8.709999999999999
O104063;C11133;Beauty;EU;01/01/2024;61.07;51.17;0.1342;9.899999999999999;13.420000000000002
O103470;C10491;Electronics;APAC;01/01/2024;192.38;158.68;0.1449;33.69999999999999;14.49
O107717;C11553;Electronics;Unknown;01/01/2024;535.49;525.36;0.1621;10.129999999999995;16.21
O106664;C11525;Electronics;APAC;01/01/2024;474.06;388.0;0.0126;86.06;1.26
O108085;C10297;Sports;Unknown;01/01/2024;234.45;175.68;0.1886;58.76999999999998;18.86
O108372;C11434;Sports;Unknown;01/01/2024;194.16;132.42;0.0836;61.74000000000001;8.36
O105160;C10837;Beauty;Unknown;02/01/2024;70.02;38.81;0.1454;31.209999999999994;14.540000000000001
O100804;C11624;Fashion;Unknown;02/01/2024;22.02;15.17;0.1194;6.85;11.940000000000001
O103267;C11518;Sports;Unknown;02/01/2024;136.27;120.18;0.2143;16.090000000000003;21.43
O105908;C11750;Fashion;EU;02/01/2024;148.83;135.56;0.2349;13.27000000000001;23.49
O111531;C10909;Sports;EU;02/01/2024;153.8;111.95;0.1833;41.85000000000001;18.33
O104591;C10086;Electronics;EU;02/01/2024;239.98;292.87;0.3143;-52.890000000000015;31.430000000000003
O107414;C10530;Electronics;Unknown;02/01/2024;627.77;470.35;0.0597;157.41999999999996;5.970000000000001
O104023;C10630;Fashion;Unknown;02/01/2024;146.26;102.32;0.1517;43.94;15.17
O100214;C11621;Electronics;EU;02/01/2024;301.68;390.61;0.3615;-88.93;36.15
O108866;C10220;Toys;APAC;02/01/2024;61.84;39.18;0.0616;22.660000000000004;6.16
O109887;C12164;Toys;Unknown;02/01/2024;88.97;68.37;0.1404;20.599999999999994;14.04
O108305;C10963;Toys;Unknown;02/01/2024;137.41;96.74;0.0583;40.67;5.83
O108466;C10874;Beauty;Unknown;03/01/2024;66.19;37.86;0.1816;28.33;18.16
O103527;C10198;Home & Kitchen;EU;03/01/2024;169.52;138.39;0.0832;31.130000000000024;8.32
O108408;C10063;Toys;LATAM;03/01/2024;105.1;78.9;0.1395;26.19999999999999;13.950000000000001
O103488;C10973;Electronics;EU;03/01/2024;332.26;398.61;0.3344;-66.35000000000002;33.44
O104784;C11857;Home & Kitchen;Unknown;03/01/2024;299.33;260.8;0.1034;38.52999999999997;10.34
O104980;C11982;Fashion;Unknown;03/01/2024;102.77;65.77;0.2621;37.0;26.21
O108634;C11789;Electronics;LATAM;03/01/2024;393.16;405.99;0.1822;-12.829999999999984;18.22
O107794;C10083;Beauty;Unknown;03/01/2024;74.09;40.04;0.1097;34.050000000000004;10.97
O103684;C12146;Sports;LATAM;03/01/2024;150.64;122.29;0.1362;28.34999999999998;13.62
O105489;C10793;Home & Kitchen;APAC;03/01/2024;330.46;270.92;0.1413;59.539999999999964;14.13
O100317;C11599;Electronics;EU;03/01/2024;338.59;432.64;0.3083;-94.05000000000001;30.830000000000002
O111725;C11421;Toys;Unknown;03/01/2024;130.45;72.85;0.0262;57.599999999999994;2.62
O108843;C10396;Beauty;Unknown;03/01/2024;95.92;53.09;0.0629;42.83;6.29
O102006;C10954;Fashion;Unknown;03/01/2024;131.42;87.81;0.1405;43.609999999999985;14.05
O105422;C10161;Fashion;Unknown;03/01/2024;118.35;97.13;0.2638;21.22;26.38
O110993;C12121;Electronics;EU;03/01/2024;342.78;342.89;0.2123;-0.11000000000001364;21.23
O101956;C11162;Beauty;EU;03/01/2024;101.09;58.02;0.127;43.07;12.7
O109421;C11745;Electronics;APAC;03/01/2024;233.03;205.26;0.1362;27.77000000000001;13.62
O109417;C10368;Toys;EU;03/01/2024;164.94;115.56;0.1252;49.379999999999995;12.520000000000001
O106080;C11975;Beauty;APAC;03/01/2024;87.87;55.49;0.0853;32.38;8.53
O101171;C11387;Electronics;Unknown;03/01/2024;439.68;360.78;0.1211;78.90000000000003;12.11
O102928;C10408;Electronics;APAC;03/01/2024;364.55;305.54;0.1575;59.00999999999999;15.75
O101243;C11077;Beauty;Unknown;03/01/2024;86.33;57.06;0.1204;29.269999999999996;12.04
O111197;C11263;Toys;APAC;03/01/2024;66.18;64.84;0.1784;1.3400000000000034;17.84
O109375;C10996;Sports;Unknown;03/01/2024;27.64;30.24;0.0903;-2.599999999999998;9.030000000000001
O110390;C10241;Home & Kitchen;Unknown;04/01/2024;151.51;126.42;0.1074;25.08999999999999;10.74
O111606;C11619;Sports;Unknown;04/01/2024;85.79;63.8;0.1213;21.99000000000001;12.13
O107453;C12116;Electronics;EU;04/01/2024;338.99;424.47;0.3315;-85.48000000000002;33.15
O110232;C10396;Electronics;APAC;04/01/2024;602.64;543.16;0.1628;59.48000000000002;16.28
O107885;C10419;Beauty;EU;04/01/2024;118.12;84.23;0.1317;33.89;13.170000000000002
O110612;C10082;Electronics;EU;04/01/2024;317.14;396.97;0.3493;-79.83000000000004;34.93
O101975;C10110;Electronics;EU;04/01/2024;287.64;330.75;0.3071;-43.110000000000014;30.709999999999997
O106671;C10772;Electronics;LATAM;04/01/2024;317.87;325.45;0.2241;-7.579999999999984;22.41
O110897;C11182;Fashion;EU;04/01/2024;63.19;53.49;0.2167;9.699999999999996;21.67
O106435;C10028;Home & Kitchen;Unknown;04/01/2024;74.64;60.18;0.1429;14.46;14.29
O111327;C10286;Sports;Unknown;04/01/2024;225.5;154.95;0.0522;70.55000000000001;5.220000000000001
O105258;C11472;Sports;LATAM;04/01/2024;252.27;206.0;0.0985;46.27000000000001;9.85
O100966;C11323;Home & Kitchen;Unknown;04/01/2024;152.91;135.79;0.1151;17.120000000000005;11.51
O103492;C10817;Toys;APAC;04/01/2024;66.32;38.23;0.1264;28.089999999999996;12.64
O100255;C10317;Home & Kitchen;EU;04/01/2024;135.23;113.33;0.1594;21.89999999999999;15.939999999999998
O103851;C10101;Fashion;EU;04/01/2024;137.48;120.56;0.2729;16.919999999999987;27.29
O107620;C12061;Toys;Unknown;04/01/2024;125.75;95.63;0.1658;30.120000000000005;16.580000000000002
O107391;C10931;Sports;EU;05/01/2024;165.51;123.6;0.1878;41.91;18.78
O107356;C10655;Toys;Unknown;05/01/2024;110.13;84.24;0.1353;25.89;13.530000000000001
O106418;C12158;Home & Kitchen;Unknown;05/01/2024;230.08;181.88;0.0935;48.20000000000002;9.35
O104993;C11214;Home & Kitchen;LATAM;05/01/2024;162.36;186.75;0.2182;-24.389999999999986;21.82
