order_id,customer_id,product_category,region,order_date,revenue,cost,discount
O109818,C11001,Home & Kitchen,NA,2024-01-01,153.57,124.61,0.201
O108311,C10013,Sports,EU,2024-01-01,158.45,116.65,0.0776
O100239,C11380,Electronics,EU,2024-01-01,337.98,380.49,0.269
O109975,C10417,Electronics,APAC,2024-01-01,354.62,372.16,0.283
O102059,C10886,Beauty,APAC,2024-01-01,36.05,22.49,0.1533
O106680,C10412,Fashion,APAC,2024-01-01,88.12,70.0,0.1858
O102015,C10702,Home & Kitchen,EU,2024-01-01,115.86,96.13,0.148
O108418,C11638,Electronics,LATAM,2024-01-01,319.49,338.51,0.1794
O109335,C10748,Home & Kitchen,EU,2024-01-01,67.1,63.71,0.2166
O111796,C10984,Fashion,NA,2024-01-01,89.62,72.13,0.2058
O108214,C10110,Sports,NA,2024-01-01,70.24,47.32,0.1226
O107047,C10838,Fashion,NA,2024-01-01,86.14,61.1,0.2543
O108034,C11787,Home & Kitchen,EU,2024-01-01,166.75,129.17,0.0871
O104063,C11133,Beauty,EU,2024-01-01,61.07,51.17,0.1342
O103470,C10491,Electronics,APAC,2024-01-01,192.38,158.68,0.1449
O107717,C11553,Electronics,NA,2024-01-01,535.49,525.36,0.1621
O106664,C11525,Electronics,APAC,2024-01-01,474.06,388.0,0.0126
O108085,C10297,Sports,NA,2024-01-01,234.45,175.68,0.1886
O108372,C11434,Sports,NA,2024-01-01,194.16,132.42,0.0836
O105160,C10837,Beauty,NA,2024-01-02,70.02,38.81,0.1454
O100804,C11624,Fashion,NA,2024-01-02,22.02,15.17,0.1194
O103267,C11518,Sports,NA,2024-01-02,136.27,120.18,0.2143
O105908,C11750,Fashion,EU,2024-01-02,148.83,135.56,0.2349
O111531,C10909,Sports,EU,2024-01-02,153.8,111.95,0.1833
O104591,C10086,Electronics,EU,2024-01-02,239.98,292.87,0.3143
O107414,C10530,Electronics,NA,2024-01-02,627.77,470.35,0.0597
O104023,C10630,Fashion,NA,2024-01-02,146.26,102.32,0.1517
O100214,C11621,Electronics,EU,2024-01-02,301.68,390.61,0.3615
O108866,C10220,Toys,APAC,2024-01-02,61.84,39.18,0.0616
O109887,C12164,Toys,NA,2024-01-02,88.97,68.37,0.1404
O108305,C10963,Toys,NA,2024-01-02,137.41,96.74,0.0583
O108466,C10874,Beauty,NA,2024-01-03,66.19,37.86,0.1816
O103527,C10198,Home & Kitchen,EU,2024-01-03,169.52,138.39,0.0832
O108408,C10063,Toys,LATAM,2024-01-03,105.1,78.9,0.1395
O103488,C10973,Electronics,EU,2024-01-03,332.26,398.61,0.3344
O104784,C11857,Home & Kitchen,NA,2024-01-03,299.33,260.8,0.1034
O104980,C11982,Fashion,NA,2024-01-03,102.77,65.77,0.2621
O108634,C11789,Electronics,LATAM,2024-01-03,393.16,405.99,0.1822
O107794,C10083,Beauty,NA,2024-01-03,74.09,40.04,0.1097
O103684,C12146,Sports,LATAM,2024-01-03,150.64,122.29,0.1362
O105489,C10793,Home & Kitchen,APAC,2024-01-03,330.46,270.92,0.1413
O100317,C11599,Electronics,EU,2024-01-03,338.59,432.64,0.3083
O111725,C11421,Toys,NA,2024-01-03,130.45,72.85,0.0262
O108843,C10396,Beauty,NA,2024-01-03,95.92,53.09,0.0629
O102006,C10954,Fashion,NA,2024-01-03,131.42,87.81,0.1405
O105422,C10161,Fashion,NA,2024-01-03,118.35,97.13,0.2638
O110993,C12121,Electronics,EU,2024-01-03,342.78,342.89,0.2123
O101956,C11162,Beauty,EU,2024-01-03,101.09,58.02,0.127
O109421,C11745,Electronics,APAC,2024-01-03,233.03,205.26,0.1362
O109417,C10368,Toys,EU,2024-01-03,164.94,115.56,0.1252
O106080,C11975,Beauty,APAC,2024-01-03,87.87,55.49,0.0853
O101171,C11387,Electronics,NA,2024-01-03,439.68,360.78,0.1211
O102928,C10408,Electronics,APAC,2024-01-03,364.55,305.54,0.1575
O101243,C11077,Beauty,NA,2024-01-03,86.33,57.06,0.1204
O111197,C11263,Toys,APAC,2024-01-03,66.18,64.84,0.1784
O109375,C10996,Sports,NA,2024-01-03,27.64,30.24,0.0903
O110390,C10241,Home & Kitchen,NA,2024-01-04,151.51,126.42,0.1074
O111606,C11619,Sports,NA,2024-01-04,85.79,63.8,0.1213
O107453,C12116,Electronics,EU,2024-01-04,338.99,424.47,0.3315
O110232,C10396,Electronics,APAC,2024-01-04,602.64,543.16,0.1628
O107885,C10419,Beauty,EU,2024-01-04,118.12,84.23,0.1317
O110612,C10082,Electronics,EU,2024-01-04,317.14,396.97,0.3493
O101975,C10110,Electronics,EU,2024-01-04,287.64,330.75,0.3071
O106671,C10772,Electronics,LATAM,2024-01-04,317.87,325.45,0.2241
O110897,C11182,Fashion,EU,2024-01-04,63.19,53.49,0.2167
O106435,C10028,Home & Kitchen,NA,2024-01-04,74.64,60.18,0.1429
O111327,C10286,Sports,NA,2024-01-04,225.5,154.95,0.0522
O105258,C11472,Sports,LATAM,2024-01-04,252.27,206.0,0.0985
O100966,C11323,Home & Kitchen,NA,2024-01-04,152.91,135.79,0.1151
O103492,C10817,Toys,APAC,2024-01-04,66.32,38.23,0.1264
O100255,C10317,Home & Kitchen,EU,2024-01-04,135.23,113.33,0.1594
O103851,C10101,Fashion,EU,2024-01-04,137.48,120.56,0.2729
O107620,C12061,Toys,NA,2024-01-04,125.75,95.63,0.1658
O107391,C10931,Sports,EU,2024-01-05,165.51,123.6,0.1878
O107356,C10655,Toys,NA,2024-01-05,110.13,84.24,0.1353
O106418,C12158,Home & Kitchen,NA,2024-01-05,230.08,181.88,0.0935
O104993,C11214,Home & Kitchen,LATAM,2024-01-05,162.36,186.75,0.2182
O106468,C11131,Electronics,APAC,2024-01-05,249.43,207.29,0.1619
O100083,C11831,Home & Kitchen,NA,2024-01-05,133.62,132.78,0.1858
O100322,C11352,Fashion,NA,2024-01-05,19.61,24.3,0.2156
O105619,C10364,Home & Kitchen,NA,2024-01-05,223.88,190.46,0.1358
O109381,C11037,Electronics,EU,2024-01-05,317.83,365.98,0.2716
O109560,C11212,Fashion,APAC,2024-01-05,57.77,53.12,0.2459
O107768,C10625,Electronics,APAC,2024-01-05,361.91,351.47,0.1854
O102403,C11211,Electronics,EU,2024-01-05,236.16,265.67,0.2496
O111478,C10369,Electronics,EU,2024-01-05,164.61,196.15,0.3354
O102349,C11109,Electronics,NA,2024-01-05,300.96,275.19,0.1359
O105893,C10713,Sports,EU,2024-01-05,225.68,158.27,0.1114
O102241,C11459,Beauty,NA,2024-01-05,48.78,22.75,0.2
O102023,C11319,Home & Kitchen,EU,2024-01-05,68.41,61.05,0.1269
O102491,C10582,Home & Kitchen,EU,2024-01-06,248.72,217.34,0.1133
O105076,C10725,Fashion,NA,2024-01-06,138.2,118.91,0.2656
O103096,C10384,Electronics,NA,2024-01-06,437.15,416.97,0.1284
O104464,C10980,Sports,EU,2024-01-06,149.02,117.57,0.1682
O108650,C11959,Fashion,NA,2024-01-06,138.24,114.36,0.2292
O103416,C11354,Beauty,NA,2024-01-06,76.52,58.48,0.2
O104855,C11522,Fashion,LATAM,2024-01-06,66.23,64.2,0.2419
O100948,C12085,Sports,NA,2024-01-06,76.81,56.88,0.1393
O108264,C10110,Electronics,EU,2024-01-06,223.52,263.44,0.3235
O107363,C10376,Home & Kitchen,NA,2024-01-06,100.6,76.49,0.0932
O111450,C11704,Toys,NA,2024-01-06,145.66,109.67,0.0856
O107424,C12107,Sports,EU,2024-01-06,206.57,164.09,0.1645
O110494,C10917,Sports,EU,2024-01-06,136.27,124.06,0.2348
O105836,C11930,Electronics,NA,2024-01-06,455.0,447.9,0.1838
O111549,C10491,Fashion,EU,2024-01-06,111.65,101.66,0.3359
O110311,C10008,Sports,NA,2024-01-07,197.91,155.97,0.1644
O101485,C11898,Fashion,NA,2024-01-07,77.78,63.04,0.2396
O105474,C10125,Electronics,APAC,2024-01-07,241.65,205.23,0.1384
O107656,C11767,Fashion,LATAM,2024-01-07,112.53,85.59,0.2214
O103146,C11413,Fashion,NA,2024-01-07,116.08,94.52,0.2602
O105151,C11363,Fashion,APAC,2024-01-07,19.1,22.11,0.236
O109219,C12141,Electronics,NA,2024-01-07,373.49,311.27,0.1313
O100894,C11648,Toys,APAC,2024-01-07,126.02,92.77,0.1341
O108404,C11864,Beauty,EU,2024-01-07,73.62,39.99,0.0906
O100338,C10446,Electronics,NA,2024-01-07,513.48,498.43,0.1321
O104878,C11477,Sports,EU,2024-01-07,189.02,169.5,0.1841
O108140,C11692,Fashion,EU,2024-01-07,71.2,96.92,0.3946
O104147,C11882,Toys,EU,2024-01-07,77.66,47.18,0.0517
O104581,C12138,Fashion,APAC,2024-01-07,85.36,67.18,0.2327
O109279,C10486,Sports,EU,2024-01-07,31.36,38.73,0.0694
O105999,C10215,Sports,APAC,2024-01-07,119.75,74.19,0.1072
O108276,C11669,Sports,APAC,2024-01-07,76.16,58.21,0.1718
O106313,C10154,Fashion,NA,2024-01-07,143.46,103.65,0.1342
O106409,C12042,Toys,EU,2024-01-08,101.22,82.03,0.1442
O110595,C10531,Electronics,NA,2024-01-08,574.79,561.73,0.1674
O103626,C11696,Fashion,NA,2024-01-08,123.09,93.21,0.1725
O107218,C10554,Electronics,APAC,2024-01-08,386.17,338.04,0.1514
O102931,C11480,Beauty,NA,2024-01-08,84.45,54.91,0.0739
O107123,C11108,Fashion,EU,2024-01-08,113.82,100.02,0.2921
O102866,C10693,Home & Kitchen,NA,2024-01-08,214.66,179.21,0.146
O105024,C11918,Sports,EU,2024-01-08,161.26,117.01,0.0998
